case,level,agl_median_m,agl_min_m,agl_max_m,speed_mean,speed_p95,speed_max,w_abs_p99,w_abs_max,w_grid_abs_p99,w_grid_abs_max
v2_auto1_n80_top12_s26,5,127.486083984375,100.2138671875,153.1688232421875,1.76724112033844,4.220851898193359,9.61158275604248,1.2027026414871216,3.044248580932617,0.5546668767929077,1.871962547302246
v2_auto1_n80_top12_s26,6,162.4749755859375,124.453857421875,198.2703857421875,1.7806700468063354,4.277359485626221,9.782264709472656,1.1466894149780273,2.9213414192199707,0.6654366254806519,2.155879259109497
v2_auto1_n80_top12_s26,7,200.894775390625,150.0908203125,248.70989990234375,1.80220627784729,4.3280415534973145,9.821473121643066,1.1090495586395264,2.7944130897521973,0.7791149020195007,2.4000563621520996
v2_auto1_n80_top12_s26,8,242.664306640625,176.98828125,304.4521484375,1.822819709777832,4.343844890594482,9.821185111999512,1.067011833190918,2.6704261302948,0.8912729620933533,2.620823621749878
v2_auto1_n80_top12_s26,9,287.7054443359375,205.043701171875,365.4378662109375,1.8551815748214722,4.348008155822754,9.66620922088623,1.033499836921692,2.574024200439453,1.0027952194213867,2.8107247352600098
v2_auto1_n80_top12_s26,10,335.940185546875,234.186767578125,431.59002685546875,1.8987903594970703,4.3446807861328125,9.447393417358398,1.0054281949996948,2.5001308917999268,1.1062394380569458,2.963515281677246
v2_auto1_n80_top12_s26,11,387.2945556640625,264.381103515625,502.8099365234375,1.955000400543213,4.350915908813477,9.139851570129395,0.9986739158630371,2.414255380630493,1.203903079032898,3.0701167583465576
v2_auto1_n80_top12_s26,12,441.7470703125,295.625732421875,578.97509765625,2.0186612606048584,4.391848564147949,8.784466743469238,0.9961036443710327,2.3793952465057373,1.2932517528533936,3.121844530105591
v2_auto1_n80_top12_s26,13,499.22900390625,327.947998046875,659.9476318359375,2.0860331058502197,4.447562217712402,8.405104637145996,0.9942983388900757,2.4612085819244385,1.3727331161499023,3.355064868927002
v2_auto1_n80_top12_s26,14,559.69189453125,361.412109375,745.5672607421875,2.1582932472229004,4.530673027038574,8.022896766662598,0.9955989122390747,2.5195436477661133,1.4444094896316528,3.649709463119507
v2_auto1_n80_top12_s26,15,623.0545654296875,396.106689453125,835.658203125,2.238720655441284,4.609536647796631,7.668846130371094,0.9965670704841614,2.5533246994018555,1.5053136348724365,3.9260990619659424
v2_auto1_n80_top12_s26,16,689.342529296875,432.151123046875,930.0286865234375,2.332139253616333,4.69246768951416,7.522714614868164,0.9928576946258545,2.5861332416534424,1.5512079000473022,4.186212062835693
v2_auto1_n80_top12_s26,17,758.470703125,469.687255859375,1028.472900390625,2.4392287731170654,4.755281448364258,7.658156394958496,0.9744497537612915,2.6749565601348877,1.5827462673187256,4.446971416473389
v2_auto1_n80_top12_s26,18,830.3829345703125,508.881591796875,1130.77490234375,2.5610413551330566,4.808218479156494,7.775618076324463,0.9440292716026306,2.8313567638397217,1.595643401145935,4.684342861175537
v2_auto1_n80_top12_s26,19,905.1053466796875,549.91552734375,1236.711669921875,2.696946859359741,4.857424259185791,7.921997547149658,0.9151294231414795,2.9814236164093018,1.5899289846420288,4.899104118347168
v2_auto1_n80_top12_s26,20,982.6756591796875,592.98681640625,1346.0550537109375,2.8418331146240234,4.942662239074707,8.035517692565918,0.8806197643280029,3.1268205642700195,1.5769453048706055,5.091443061828613
v2_auto1_n80_top12_s26,21,1063.0321044921875,638.302978515625,1458.5762939453125,2.9926068782806396,5.074495315551758,8.174406051635742,0.8411276340484619,3.2616448402404785,1.5481075048446655,5.254824161529541
v2_auto1_n80_top12_s26,22,1146.147216796875,686.077392578125,1574.0467529296875,3.14553165435791,5.277197360992432,8.281109809875488,0.8044939637184143,3.3972465991973877,1.5119829177856445,5.394319534301758
v2_auto1_n80_top12_s26,23,1231.859130859375,736.527099609375,1692.2454833984375,3.3015122413635254,5.521089553833008,8.400452613830566,0.7579686641693115,3.522953987121582,1.473781943321228,5.505442142486572
v2_auto1_n80_top12_s26,24,1320.477294921875,789.866455078125,1812.9581298828125,3.455850839614868,5.781231880187988,8.497074127197266,0.7166407704353333,3.637246608734131,1.4335330724716187,5.600934982299805
v2_auto1_n80_top12_s26,25,1411.963134765625,846.3046875,1935.9820556640625,3.6151208877563477,6.0600409507751465,8.581853866577148,0.6809925436973572,3.7502787113189697,1.3895187377929688,5.709142684936523
v2_auto1_n80_top12_s26,26,1505.8841552734375,906.042724609375,2061.1292724609375,3.780377149581909,6.352780818939209,8.702079772949219,0.635755181312561,3.85553240776062,1.3444045782089233,5.791683197021484
v2_auto1_n80_top12_s26,27,1602.7686767578125,969.268310546875,2188.2269287109375,3.944286584854126,6.642309188842773,8.806686401367188,0.591114342212677,3.95021390914917,1.292051911354065,5.851528644561768
v2_auto1_n80_top12_s26,28,1702.4703369140625,1036.156494140625,2317.1219482421875,4.104944229125977,6.929073810577393,8.941712379455566,0.5449724793434143,4.035231590270996,1.2356213331222534,5.891183853149414
v2_auto1_n80_top12_s26,29,1804.843017578125,1106.863525390625,2447.6790771484375,4.253962993621826,7.188024044036865,9.078400611877441,0.5098252892494202,4.11265754699707,1.1727168560028076,5.917093276977539
v2_auto1_n80_top12_s26,30,1909.681396484375,1181.526611328125,2579.7857666015625,4.382198333740234,7.406250953674316,9.150687217712402,0.48718464374542236,4.184657573699951,1.1049220561981201,5.930086612701416
v2_auto1_n80_top12_s26,31,2017.53173828125,1260.264892578125,2713.3502197265625,4.474997043609619,7.598165988922119,9.158451080322266,0.4690902531147003,4.251032829284668,1.0282258987426758,5.931525230407715
v2_auto1_n80_top12_s26,32,2128.5029296875,1343.175048828125,2848.3016357421875,4.5215864181518555,7.72386360168457,9.086997985839844,0.4432385563850403,4.307971477508545,0.9478641748428345,5.915038585662842
v2_auto1_n80_top12_s26,33,2242.4693603515625,1430.333251953125,2984.5916748046875,4.505198001861572,7.715822696685791,9.019554138183594,0.4204537868499756,4.3469343185424805,0.8640834093093872,5.865788459777832
v2_auto1_n80_top12_s26,34,2359.3280029296875,1521.794189453125,3122.1905517578125,4.443553447723389,7.5890583992004395,8.878686904907227,0.39810648560523987,4.381834030151367,0.7853866219520569,5.778078079223633
v2_auto1_n80_top12_s26,35,2478.470947265625,1617.593505859375,3261.0904541015625,4.368220329284668,7.414224147796631,8.623210906982422,0.3966705799102783,4.459515571594238,0.7054144740104675,5.743502616882324
v2_auto1_n80_top12_s26,36,2600.802001953125,1717.747314453125,3401.3004150390625,4.295622825622559,7.169709205627441,8.280991554260254,0.3921227753162384,4.505801677703857,0.6333289742469788,5.7212042808532715
v2_auto1_n80_top12_s26,37,2726.08056640625,1822.252197265625,3542.8450927734375,4.225362777709961,6.8672943115234375,7.8929338455200195,0.385772168636322,4.508360862731934,0.5752713084220886,5.658495903015137
v2_auto1_n80_top12_s26,38,2854.221923828125,1931.091064453125,3685.7650146484375,4.124027252197266,6.553289413452148,7.449218273162842,0.37263017892837524,4.47747278213501,0.5289377570152283,5.544272422790527
