case,level,agl_median_m,agl_min_m,agl_max_m,w_abs_max,w_abs_p99,w_grid_abs_max,w_grid_abs_p99,speed_mean,speed_p95
var_no_sx_20km,8,2625.7333984375,2524.69140625,2711.036376953125,4.3933939933776855,0.40516167879104614,5.478833198547363,2.8533620834350586,4.26107931137085,7.263147354125977
var_no_sx_20km,9,2966.9482421875,2848.017578125,3067.353515625,4.479879379272461,0.3883008360862732,5.797230243682861,2.477735757827759,4.077102184295654,6.923500061035156
var_no_sx_20km,10,3316.02685546875,3178.158203125,3432.419677734375,4.0594940185546875,0.3491244316101074,5.524422645568848,2.3448338508605957,3.9724395275115967,6.570810794830322
var_no_sx_20km,11,3673.22705078125,3515.390625,3806.47705078125,4.513073444366455,0.31096509099006653,5.494967460632324,2.597032308578491,4.049649238586426,7.181474208831787
var_no_sx_20km,12,4038.80859375,3859.990234375,4189.77197265625,5.376913070678711,0.3065098226070404,6.324577808380127,2.929302930831909,4.357864856719971,8.14714527130127
var_no_sx_20km,13,4413.0341796875,4212.2333984375,4582.556640625,6.031434535980225,0.3138863742351532,6.849704265594482,3.186461925506592,4.82533597946167,9.652566909790039
var_no_sx_20km,14,4796.171875,4572.3984375,4985.087890625,6.260688304901123,0.3206571340560913,6.73067569732666,3.3097712993621826,5.093959808349609,9.852853775024414
var_no_sx_20km,15,5188.4921875,4940.76611328125,5397.62939453125,5.822114944458008,0.32476601004600525,5.870640277862549,3.14922833442688,5.0595574378967285,9.553094863891602
var_no_sx_20km,16,5590.2685546875,5317.619140625,5820.44775390625,4.761600494384766,0.34006497263908386,4.969272613525391,2.874674081802368,4.782166957855225,8.82955265045166
var_no_sx_20km,17,6001.78369140625,5703.24560546875,6253.81787109375,3.5350730419158936,0.35482534766197205,4.607787132263184,2.6240479946136475,4.552206516265869,8.471298217773438
var_no_sx_20km,18,6423.32373046875,6097.94091796875,6698.021484375,2.4487531185150146,0.3858150839805603,4.364365577697754,2.456731081008911,4.459012031555176,7.850128650665283
var_no_sx_20km,19,6855.1826171875,6502.00341796875,7153.3466796875,1.9599883556365967,0.41610637307167053,4.169124126434326,2.3288304805755615,4.4710564613342285,7.569257736206055
var_no_sx_20km,20,7297.658203125,6915.73486328125,7620.08837890625,1.9918419122695923,0.4282536506652832,3.9085752964019775,2.2069787979125977,4.541297912597656,7.714999675750732
var_no_sx_20km,21,7751.0556640625,7339.44580078125,8098.54736328125,1.8048012256622314,0.41171911358833313,4.706737518310547,2.3286750316619873,4.999422550201416,8.446626663208008
var_no_sx_20km,22,8215.68359375,7773.44775390625,8589.03271484375,0.7667146921157837,0.39739853143692017,5.034547328948975,2.5088634490966797,6.067773818969727,9.232195854187012
